rr,amplitude,rt
2.560000000000000000e+02,1.164816636289614326e+04,3.000000000000000000e+01
2.520000000000000000e+02,1.123491673021771203e+04,2.700000000000000000e+01
2.560000000000000000e+02,1.106043740261175662e+04,2.500000000000000000e+01
2.760000000000000000e+02,1.102259065742562416e+04,2.500000000000000000e+01
3.320000000000000000e+02,1.083662609077014167e+04,2.800000000000000000e+01
3.570000000000000000e+02,1.006079042233713699e+04,2.800000000000000000e+01
3.700000000000000000e+02,9.848442583613948955e+03,2.400000000000000000e+01
3.580000000000000000e+02,1.019411187823067667e+04,2.600000000000000000e+01
3.310000000000000000e+02,1.028174285425505514e+04,2.800000000000000000e+01
2.930000000000000000e+02,1.051626486996562744e+04,2.700000000000000000e+01
2.740000000000000000e+02,1.131855271613435434e+04,2.500000000000000000e+01
2.590000000000000000e+02,1.162746737036832383e+04,2.600000000000000000e+01
2.540000000000000000e+02,1.173685940990288873e+04,2.600000000000000000e+01
2.570000000000000000e+02,1.135582403886130487e+04,2.500000000000000000e+01
2.690000000000000000e+02,1.119463053392875008e+04,3.500000000000000000e+01
2.980000000000000000e+02,1.107934184544048730e+04,2.500000000000000000e+01
3.320000000000000000e+02,1.057852627368336653e+04,2.400000000000000000e+01
3.510000000000000000e+02,9.875636913641055799e+03,2.700000000000000000e+01
3.530000000000000000e+02,1.023171771097235978e+04,2.600000000000000000e+01
3.520000000000000000e+02,1.035865544391303774e+04,2.700000000000000000e+01
3.430000000000000000e+02,1.044131656620924150e+04,2.500000000000000000e+01
3.400000000000000000e+02,1.043504483679595796e+04,2.700000000000000000e+01
3.240000000000000000e+02,1.083001865499983796e+04,2.600000000000000000e+01
3.130000000000000000e+02,1.074618117831673953e+04,2.700000000000000000e+01
3.080000000000000000e+02,1.099170025047340278e+04,2.700000000000000000e+01
2.990000000000000000e+02,1.119675140933351577e+04,2.500000000000000000e+01
2.830000000000000000e+02,1.165562700626419974e+04,2.400000000000000000e+01
2.670000000000000000e+02,1.171363171355880331e+04,2.700000000000000000e+01
2.630000000000000000e+02,1.169720617940521515e+04,2.300000000000000000e+01
2.630000000000000000e+02,1.142000871704275414e+04,2.400000000000000000e+01
2.920000000000000000e+02,1.125440736055179696e+04,2.500000000000000000e+01
3.700000000000000000e+02,1.058327270528683584e+04,2.600000000000000000e+01
4.030000000000000000e+02,9.749407203009124714e+03,2.400000000000000000e+01
4.040000000000000000e+02,9.438754636172643586e+03,2.300000000000000000e+01
3.920000000000000000e+02,9.771773578639797051e+03,2.400000000000000000e+01
3.720000000000000000e+02,1.023810258024997529e+04,2.700000000000000000e+01
3.450000000000000000e+02,1.024509031402196706e+04,2.500000000000000000e+01
3.280000000000000000e+02,1.059444755927908227e+04,2.500000000000000000e+01
3.010000000000000000e+02,1.075784942614153988e+04,2.500000000000000000e+01
2.830000000000000000e+02,1.152044359337620881e+04,2.500000000000000000e+01
2.690000000000000000e+02,1.151017720726209882e+04,2.600000000000000000e+01
2.660000000000000000e+02,1.154605180782477146e+04,2.600000000000000000e+01
2.700000000000000000e+02,1.113310888055605392e+04,2.500000000000000000e+01
2.800000000000000000e+02,1.124292014375803592e+04,2.700000000000000000e+01
2.990000000000000000e+02,1.122044348719809932e+04,2.600000000000000000e+01
3.120000000000000000e+02,1.099574610667046181e+04,2.700000000000000000e+01
3.160000000000000000e+02,1.070687511143291522e+04,2.400000000000000000e+01
